,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
19240,finances,finance,NOUN,,Plur,,,,,1,['finances'],[16156],5,5,Plural Noun,"as a result , your finances improve - and your newfound confidence could attract new love into your life .","As a result , your finances improve - and your newfound confidence could attract new love into your life ."
19320,concepts,concept,NOUN,,Plur,,,,,1,['concepts'],[8474],3,3,Plural Noun,"your learning of concepts of all kinds combines with extensive group activity , bringing your mind into a whole new space this year .","Your learning of concepts of all kinds combines with extensive group activity , bringing your mind into a whole new space this year ."
19392,matters,matter,VERB,,Sing,3,Pres,,,1,['matters'],[5609],13,13,Third-Person Present Tense Verb,"your love life is full , and any dissatisfaction with career and money matters fades into the background .","Your love life is full , and any dissatisfaction with career and money matters fades into the background ."
19449,'s,be,VERB,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",1,2,Third-Person Present Tense Verb,there ' s so much punch packed into this combination that it ' s almost scary .,There 's so much punch packed into this combination that it 's almost scary .
19524,into,into,ADP,,,,,,,0,['into'],[2046],17,17,Translative Case,"not only that , but travel , adventure , and personal expansion in ##fus ##e fresh energy into all areas of your life .","Not only that , but travel , adventure , and personal expansion infuse fresh energy into all areas of your life ."
19612,into,into,ADP,,,,,,,0,['into'],[2046],15,15,Translative Case,"no doubt , in 2005 you ' ll find yourself pushed more and more out into the world .","No doubt , in 2005 you 'll find yourself pushed more and more out into the world ."
19648,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",3,4,Genitive Case,158 ##4 lopez ' s book translated into italian by tar ##sia and published in venice .,1584 Lopez 's book translated into Italian by Tarsia and published in Venice .
19676,knives,knife,NOUN,,Plur,,,,,1,['knives'],[13227],8,8,Plural Noun,then and there they would have plunged their knives into me could they have seen how to escape the consequences of the deed .,Then and there they would have plunged their knives into me could they have seen how to escape the consequences of the deed .
19796,sources,source,NOUN,,Plur,,,,,1,['sources'],[4216],22,22,Plural Noun,""" the berlin daily der tag ##ess ##pie ##gel this week , "" continued up ##i , "" quoted ' nato intelligence sources ' who claimed that the nato allies had been informed that the united states is currently investigating all possibilities of bringing the mu ##llah - led regime into line , including military options .",""" The Berlin daily Der Tagesspiegel this week , "" continued UPI , "" quoted ' NATO intelligence sources ' who claimed that the NATO allies had been informed that the United States is currently investigating all possibilities of bringing the mullah - led regime into line , including military options ."
20212,casualties,casualty,NOUN,,Plur,,,,,2,['casualties'],[8664],13,13,Plural Noun,"the result will be a dramatic es ##cala ##tion in us and civilian casualties , us forces will be required to bunker themselves further into their bases , and us forces will find themselves required to fight the very government they just finished helping into power .","The result will be a dramatic escalation in US and civilian casualties , US forces will be required to bunker themselves further into their bases , and US forces will find themselves required to fight the very government they just finished helping into power ."
20662,into,into,ADP,,,,,,,0,['into'],[2046],13,13,Translative Case,"iraq , already a see ##thing ca ##uld ##ron , will sink further into chaos .","Iraq , already a seething cauldron , will sink further into chaos ."
20688,into,into,ADP,,,,,,,0,['into'],[2046],13,13,Translative Case,beyond the naval threat is the possibility of iran throwing its military muscle into the ongoing struggle in iraq .,Beyond the naval threat is the possibility of Iran throwing its military muscle into the ongoing struggle in Iraq .
20748,decides,decide,VERB,,Sing,3,Pres,,,1,['decides'],[7288],2,2,Third-Person Present Tense Verb,"if iran decides to throw any or all of its 23 , 000 armored fighting vehicles , along with any or all of its nearly million - strong army , into the iraq fray , the situation in the middle east could become un ##sp ##eak ##ably dire .","If Iran decides to throw any or all of its 23,000 armored fighting vehicles , along with any or all of its nearly million - strong army , into the Iraq fray , the situation in the Middle East could become unspeakably dire ."
20880,into,into,ADP,,,,,,,0,['into'],[2046],19,19,Translative Case,"an attack on iran would trigger this mutual defense pact , and could con ##ce ##iva ##bly bring syria into direct conflict with american forces .","An attack on Iran would trigger this mutual defense pact , and could conceivably bring Syria into direct conflict with American forces ."
20995,weapons,weapon,NOUN,,Plur,,,,,1,['weapons'],[4255],21,21,Plural Noun,"in the worst - case scenario , the newly - mint ##ed american order of battle requiring the use of nuclear weapons to rescue a surrounded and imp ##eri ##led force could come into play , hurling the entire planet into military and diplomatic bed ##lam .","In the worst - case scenario , the newly - minted American order of battle requiring the use of nuclear weapons to rescue a surrounded and imperiled force could come into play , hurling the entire planet into military and diplomatic bedlam ."
21425,nations,nation,NOUN,,Plur,,,,,1,['nations'],[3741],5,5,Plural Noun,"iran is suspected by many nations of working towards the development of nuclear weapons , but even this justification has been tossed into a cocked hat .","Iran is suspected by many nations of working towards the development of nuclear weapons , but even this justification has been tossed into a cocked hat ."
21641,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",6,7,Genitive Case,"therefore , any attack upon iran ' s nuclear facilities will bring russia into the mess .","Therefore , any attack upon Iran 's nuclear facilities will bring Russia into the mess ."
21673,arguments,argument,NOUN,,Plur,,,,,1,['arguments'],[9918],1,1,Plural Noun,all arguments that the bush administration would be insane to attack iran and risk a global con ##fl ##ag ##ration for the sake of political cover run into one una ##vo ##ida ##ble truth .,All arguments that the Bush administration would be insane to attack Iran and risk a global conflagration for the sake of political cover run into one unavoidable truth .
21905,into,into,ADP,,,,,,,0,['into'],[2046],11,11,Translative Case,$ 50 m - amount granted to the commission that looked into the columbia space shuttle crash .,$ 50 m - Amount granted to the commission that looked into the Columbia space shuttle crash .
21959,Nations,nation,NOUN,,Plur,,,,,1,['nations'],[3741],4,4,Plural Noun,2 - number of nations that george bush has attacked and taken over since coming into office .,2 - Number of Nations that George Bush has attacked and taken over since coming into office .
22031,planes,plane,NOUN,,Plur,,,,,1,['planes'],[9738],6,6,Plural Noun,"22 , 600 - number of planes carrying un ##screen ##ed cargo that fly into new york each month .","22,600 - Number of planes carrying unscreened cargo that fly into New York each month ."
22063,babies,baby,NOUN,,Plur,,,,,2,['babies'],[10834],5,5,Plural Noun,you could move all the babies into a fry net breed ##er or move all of the bigger fish ( also the parents ) to a different tank to avoid the babies getting eaten .,You could move all the babies into a fry net breeder or move all of the bigger fish ( also the parents ) to a different tank to avoid the babies getting eaten .
22233,parents,parent,NOUN,,Plur,,,,,1,['parents'],[3008],1,1,Plural Noun,some parents would not eat there fish till a certain age jack dempsey for example would not eat there offspring till they mature but i would move the baby fish into a smaller tank and feed them fl ##akes,some parents would not eat there fish till a certain age jack dempsey for example would not eat there offspring till they mature but i would move the baby fish into a smaller tank and feed them flakes
22423,dries,dry,VERB,,Sing,3,Pres,,,2,"['dr', '##ies']","[2852, 3111]",2,3,Third-Person Present Tense Verb,"- it dr ##ies out , losing the water that is soaked into the set structure","- it dries out , losing the water that is soaked into the set structure"
22483,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,"problem is , for some reason , the visa process took longer than it should , thus i missed school this semester ( visa was issued to me about 25 days after school started so i could n ' t attend ) , now i no longer want to go into that school ( because they only would accept me again on september of 2012 ) , i found a school that accepted me for may 2012 , can i use the same visa that was issued to me ?","Problem is , for some reason , the visa process took longer than it should , thus I missed school this semester ( visa was issued to me about 25 days after school started so I could n't attend ) , now I no longer want to go into that school ( because they only would accept me again on September of 2012 ) , I found a school that accepted me for may 2012 , can I use the same visa that was issued to me ?"
23891,into,into,ADP,,,,,,,0,['into'],[2046],11,11,Translative Case,this will get you on the re ##r b line going into town .,This will get you on the RER B line going into town .
23917,into,into,ADP,,,,,,,0,['into'],[2046],6,6,Translative Case,the pip ##ing would lead down into your sum ##p from the over ##flow box .,The piping would lead down into your sump from the overflow box .
23930,puts,put,VERB,,Sing,3,Pres,,,1,['puts'],[8509],20,20,Third-Person Present Tense Verb,"on the other end of the sum ##p , you would have a small return pump with a hose that puts the water back into your tank .","On the other end of the sump , you would have a small return pump with a hose that puts the water back into your tank ."
23984,into,into,ADP,,,,,,,0,['into'],[2046],9,9,Translative Case,you add the water and put water condition ##er into the water .,You add the water and put water conditioner into the water .
24008,into,into,ADP,,,,,,,0,['into'],[2046],4,4,Translative Case,the laser is made into the hand grip and has a switch on the side to turn it on .,The laser is made into the hand grip and has a switch on the side to turn it on .
24108,into,into,ADP,,,,,,,0,['into'],[2046],10,10,Translative Case,i have to mention that i recently separated the father into another cage close to the ' nest cage ' because he and the mother were fighting .,I have to mention that i recently separated the father into another cage close to the ' nest cage ' because he and the mother were fighting .
24248,ships,ship,NOUN,,Plur,,,,,1,['ships'],[3719],16,16,Plural Noun,"edit : also i forgot to mention earlier , most ( if not all ) cruise ships also practice lifeboat drills weekly , and it is not uncommon to see them to actually launch the lifeboat ##s into the water as part of their drill when you are in port .","Edit : Also I forgot to mention earlier , most ( if not all ) cruise ships also practice lifeboat drills weekly , and it is not uncommon to see them to actually launch the lifeboats into the water as part of their drill when you are in port ."
24648,falls,fall,NOUN,,Plur,,,,,1,['falls'],[4212],4,4,Plural Noun,"the centre of the falls is known locally as ‘ ga ##rgan ##ta del diablo ’ ( the devil ’ s throat ) , where the huge volume of water sends a constant mist of spray into the air .","The centre of the falls is known locally as ‘ Garganta Del Diablo ’ ( The Devil ’s Throat ) , where the huge volume of water sends a constant mist of spray into the air ."
24759,for,for,ADP,,,,,,,0,['for'],[2005],12,12,Causal-Final Case,"just pray that you have not ever given this criminal enough information for your identity to be stolen - your full name , birth ##date , home address , etc or that you were not con ##ned into sending money .","Just pray that you have not ever given this criminal enough information for your identity to be stolen - your full name , birthdate , home address , etc or that you were not conned into sending money ."
25071,Seizures,seizure,NOUN,,Plur,,,,,1,['seizures'],[25750],0,0,Plural Noun,seizures will occur when the toxin ##s that the kidney normally filters out are released into the blood stream .,Seizures will occur when the toxins that the kidney normally filters out are released into the blood stream .
25185,into,into,ADP,,,,,,,0,['into'],[2046],11,11,Translative Case,"the term renaissance is in essence a modern one that came into currency in the 19th century , in the work of historians such as jacob bu ##rc ##khar ##dt .","The term renaissance is in essence a modern one that came into currency in the 19th century , in the work of historians such as Jacob Burckhardt ."
25269,origins,origin,NOUN,,Plur,,,,,1,['origins'],[7321],2,2,Plural Noun,"although the origins of a movement that was confined largely to the liter ##ate culture of intellectual endeavor and patronage can be traced to the earlier part of the 14th century , many aspects of italian culture and society remained largely medieval ; the renaissance did not come into full swing until the end of the century .","Although the origins of a movement that was confined largely to the literate culture of intellectual endeavor and patronage can be traced to the earlier part of the 14th century , many aspects of Italian culture and society remained largely Medieval ; the Renaissance did not come into full swing until the end of the century ."
26010,into,into,ADP,,,,,,,0,['into'],[2046],7,7,Translative Case,"an american passport should get you right into the country , there is no need for a visa , for six months .","An American passport should get you right into the country , there is no need for a VISA , for six months ."
26079,into,into,ADP,,,,,,,0,['into'],[2046],14,14,Translative Case,i my self am one but appreciate that the organization is unlikely to make into the 22nd century .,I my self am one but appreciate that the organization is unlikely to make into the 22nd century .
26174,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],1,1,Third-Person Present Tense Verb,"there is already a little dog house that i would turn into a little rabbit hut ##ch being kept back there and i was thinking about keeping the rabbit in the run with the chickens , but keeping the chickens in the coop and the rabbit in the hut ##ch at night .","There is already a little dog house that I would turn into a little rabbit hutch being kept back there and I was thinking about keeping the rabbit in the run with the chickens , but keeping the chickens in the coop and the rabbit in the hutch at night ."
26582,Rabbits,rabbit,NOUN,,Plur,,,,,1,['rabbits'],[20403],0,0,Plural Noun,rabbits do burr ##ow also so do n ' t be surprised if chicken are falling into holes .,Rabbits do burrow also so do n't be surprised if chicken are falling into holes .
26694,needs,need,VERB,,Sing,3,Pres,,,1,['needs'],[3791],14,14,Third-Person Present Tense Verb,"if you can find a pet at a shelter , or that a friend needs to get rid of because they ' re moving or whatever , you might be able to talk your parents into "" giving it a good home "" where you might not be able to talk them into buying a new pet .","If you can find a pet at a shelter , or that a friend needs to get rid of because they 're moving or whatever , you might be able to talk your parents into "" giving it a good home "" where you might not be able to talk them into buying a new pet ."
27492,into,into,ADP,,,,,,,0,['into'],[2046],8,8,Translative Case,on the fear angle - - talk her into coming to the pet store with you .,On the fear angle -- talk her into coming to the pet store with you .
27524,into,into,ADP,,,,,,,0,['into'],[2046],27,27,Translative Case,"if i threw him against a wall and still conscious he will run away , do i hang him by the tail so the blood can flush into his skull ?","If I threw him against a wall and still conscious he will run away , do I hang him by the tail so the blood can flush into his skull ?"
27679,bankruptcies,bankruptcy,NOUN,,Plur,,,,,2,"['bankrupt', '##cies']","[17482, 9243]",31,32,Plural Noun,"your education ( the more the better ) and your past work history , combined with a clean fbi and state police record , and a satisfactory financial history ( no bankrupt ##cies or large outstanding debts in the usa ) are all taken into consideration .","YOUR education ( the more the better ) and your past work history , combined with a CLEAN FBI and State Police record , and a satisfactory financial history ( no bankruptcies or large outstanding debts in the USA ) are all taken into consideration ."
27909,for,for,ADP,,,,,,,0,['for'],[2005],21,21,Causal-Final Case,"if you keep the cage clean they do n ' t smell and you can buy spray on cl ##ease ##r for them , just massage it into their coat and groom them .","If you keep the cage clean they do n't smell and you can buy spray on cleaser for them , just massage it into their coat and groom them ."
28149,into,into,ADP,,,,,,,0,['into'],[2046],6,6,Translative Case,me and my family are moving into a new house just outside a small town .,Me and my family are moving into a new house just outside a small town .
28181,cats,cat,NOUN,,Plur,,,,,1,['cats'],[8870],5,5,Plural Noun,"territory is very important to cats , and they are very nervous when they go into a new place - a new house could be full of predators , or unknown menace ##s - well at least he thinks so .","territory is very important to cats , and they are very nervous when they go into a new place - a new house could be full of predators , or unknown menaces - well at least he thinks so ."
28501,problems,problem,NOUN,,Plur,,,,,1,['problems'],[3471],4,4,Plural Noun,i also have back problems that transfer into my legs .,I also have back problems that transfer into my legs .
28523,beats,beat,NOUN,,Plur,,,,,1,['beats'],[10299],10,10,Plural Noun,"i ' ll also tr ##ot doing , down 2 beats , up one for a wil ##e , then up 2 down 1 making sure the weight is going into the balls of my feet .","I 'll also trot doing , down 2 beats , up one for a wile , then up 2 down 1 making sure the weight is going into the balls of my feet ."
28761,into,into,ADP,,,,,,,0,['into'],[2046],5,5,Translative Case,if the weight is going into your heels ( it throws your leg forward ) put the stir ##rup ##s up against the heel of your boot .,If the weight is going into your heels ( it throws your leg forward ) put the stirrups up against the heel of your boot .
28865,for,for,ADP,,,,,,,0,['for'],[2005],4,4,Causal-Final Case,"you are not french for a start , so the "" rules "" or "" customs "" may not apply to you when it comes to entering into a relationship between people from different backgrounds .","You are not French for a start , so the "" rules "" or "" customs "" may not apply to you when it comes to entering into a relationship between people from different backgrounds ."
29117,into,into,ADP,,,,,,,0,['into'],[2046],5,5,Translative Case,"you have brought someone else into his territory , and he needs to be reminded that you still love him , and support his claim to his space .","you have brought someone else into his territory , and he needs to be reminded that you still love him , and support his claim to his space ."
29349,into,into,ADP,,,,,,,0,['into'],[2046],4,4,Translative Case,they were chased back into laos and cambodia with the ar ##vn in hot pursuit .,They were chased back into Laos and Cambodia with the ARVN in hot pursuit .
29394,for,for,ADP,,,,,,,0,['for'],[2005],5,5,Causal-Final Case,all he had to do for a complete victory was allow the military to go into laos and cambodia and finish off the shattered communist forces .,All he had to do for a complete victory was allow the military to go into Laos and Cambodia and finish off the shattered Communist forces .
29583,Crowds,crowd,NOUN,,Plur,,,,,1,['crowds'],[12783],0,0,Plural Noun,"crowds are at their thin ##nes ##t , but many of the country ’ s tourist attractions and services close down in october and do n ’ t re ##open until easter , which paradox ##ically leaves visitors with a more convincing taste of how ireland is experienced by most of the irish : it ’ s cold , grey and dark by 5 pm , but there ’ s always a pub to escape into when the rain starts sheet ##ing down .","Crowds are at their thinnest , but many of the country ’s tourist attractions and services close down in October and do n’t reopen until Easter , which paradoxically leaves visitors with a more convincing taste of how Ireland is experienced by most of the Irish : it ’s cold , grey and dark by 5 pm , but there ’s always a pub to escape into when the rain starts sheeting down ."
30915,into,into,ADP,,,,,,,0,['into'],[2046],32,32,Translative Case,"afraid i can not be more helpful , it is really a case of pot luck , although as the weather is so change ##able often a cold wet morning will turn into a lovely warm sunny afternoon and evening or visa versa .","Afraid I can not be more helpful , it is really a case of pot luck , although as the weather is so changeable often a cold wet morning will turn into a lovely warm sunny afternoon and evening or visa versa ."
31173,eggs,egg,NOUN,,Plur,,,,,1,['eggs'],[6763],3,3,Plural Noun,"but get the eggs out , maybe ri ##nsed in fresh tap water and then into the inc ##uba ##tion water .","But get the eggs out , maybe rinsed in fresh tap water and then into the incubation water ."
31211,into,into,ADP,,,,,,,0,['into'],[2046],11,11,Translative Case,i think it is wonderful ##ly responsible that you are going into this rescue eyes open and are getting the opinions of qualified professionals ( and a bunch of yahoo ##s ) before you decide to take this horse on .,I think it is wonderfully responsible that you are going into this rescue eyes open and are getting the opinions of qualified professionals ( and a bunch of Yahoos ) before you decide to take this horse on .
31640,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],1,1,Third-Person Present Tense Verb,"it has to be one of the nice ##st pubs that i have been into in a long time , the decor is nice and it has a really nice garden and a lovely deck ##ing area .","It has to be one of the nicest pubs that i have been into in a long time , the decor is nice and it has a really nice garden and a lovely decking area ."
31892,feels,feel,VERB,,Sing,3,Pres,,,1,['feels'],[5683],7,7,Third-Person Present Tense Verb,"their store is dusty , dirty and feels like you ' re stepping into the 1970s .","Their store is dusty , dirty and feels like you 're stepping into the 1970s ."
31972,puts,put,VERB,,Sing,3,Pres,,,1,['puts'],[8509],8,8,Third-Person Present Tense Verb,marek d ##zi ##da the owner and photographer puts whole heart in his business - if you are into old fashion ( not digital ) quality photography this is best place in long beach as i think not many folks can do affordable traditional photos anymore i know marek personal ##y and i will always recommend him,Marek Dzida the owner and photographer puts whole heart in his business - If you are into old fashion ( Not Digital ) quality photography this is best place in Long Beach as I think not many folks can do affordable traditional photos anymore I know Marek personaly and I will always recommend him
32404,into,into,ADP,,,,,,,0,['into'],[2046],3,3,Translative Case,i sometimes go into this store just for something to do on a sunday afternoon .,I sometimes go into this store just for something to do on a sunday afternoon .
32436,into,into,ADP,,,,,,,0,['into'],[2046],11,11,Translative Case,they spent a lot of time with me and got me into a great pair of shoes .,They spent a lot of time with me and got me into a great pair of shoes .
32472,dreams,dream,NOUN,,Plur,,,,,1,['dreams'],[5544],5,5,Plural Noun,he really does turn your dreams into reality for your home !,He really does turn your dreams into reality for your home !
32508,into,into,ADP,,,,,,,0,['into'],[2046],8,8,Translative Case,the new management is tricky and talk you into getting video rental agreement .,The new management is tricky and talk you into getting video rental agreement .
32606,people,people,NOUN,,Plur,,,,,0,['people'],[2111],8,8,Plural Noun,"anna marie and gov ##ind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay outside in the street , whether or not you pick them up again after class is probably a question of practice .","Anna Marie and Govind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay outside in the street , whether or not you pick them up again after class is probably a question of practice ."
33022,into,into,ADP,,,,,,,0,['into'],[2046],2,2,Translative Case,i moved into the tangle ##wood apartments in late 2008 and it ' s been a refreshing change .,I moved into the Tanglewood Apartments in late 2008 and it 's been a refreshing change .
33107,into,into,ADP,,,,,,,0,['into'],[2046],3,3,Translative Case,today i went into kw ##ik ka ##r and there were two cars in front of me for inspection . . . but i was still out of there pretty quick . . . barely had time to read a chapter in my book .,Today I went into Kwik Kar and there were two cars in front of me for inspection ... but I was still out of there pretty quick ... barely had time to read a chapter in my book .
33341,into,into,ADP,,,,,,,0,['into'],[2046],5,5,Translative Case,"also , if you are into wine , alto has the depth of both region , var ##ie ##tal , and vintage to satisfy nearly any somme ##lier ( or after 9 pm , bring your own bottle for free . . . no cork ##ing fee ! ) .","Also , if you are into wine , Alto has the depth of both region , varietal , and vintage to satisfy nearly any sommelier ( or after 9 pm , bring your own bottle for free ... no corking fee ! ) ."
33517,into,into,ADP,,,,,,,0,['into'],[2046],12,12,Translative Case,a simple follow - up phone call with a woman quickly turned into a nightmare .,A simple follow - up phone call with a woman quickly turned into a nightmare .
33549,feet,foot,NOUN,,Plur,,,,,0,['feet'],[2519],5,5,Plural Noun,you can not walk 5 feet without smelling that disgusting cigarette smoke and it blows right into the windows all day and all night .,You can not walk 5 feet without smelling that disgusting cigarette smoke and it blows right into the windows all day and all night .
33624,into,into,ADP,,,,,,,0,['into'],[2046],2,2,Translative Case,"even taking into account the fact that my 3 year old wanted to run most of the way round , it took us just over one hour start to finish .","Even taking into account the fact that my 3 year old wanted to run most of the way round , it took us just over one hour start to finish ."
33872,into,into,ADP,,,,,,,0,['into'],[2046],10,10,Translative Case,you just have to know what you ' re getting into when you go .,You just have to know what you 're getting into when you go .
33942,for,for,SCONJ,,,,,,,0,['for'],[2005],5,5,Causal-Final Case,this is just a way for them to sq ##ui ##rm their way into your precious pocket,This is just a way for them to squirm their way into your precious pocket
34002,into,into,ADP,,,,,,,0,['into'],[2046],13,13,Translative Case,"he preceded to grab the slice off the counter ##top and throw it into the trash while yelling at me saying , "" you do not order what you do not know about "" and "" you do n ' t know how pizza is made "" .","He preceded to grab the slice off the countertop and throw it into the trash while yelling at me saying , "" you do not order what you do not know about "" and "" you do n't know how pizza is made "" ."
34587,goes,go,VERB,,Sing,3,Pres,,,2,['goes'],[3632],16,16,Third-Person Present Tense Verb,the first thing you notice when you arrive on location is that the waiting line literally goes out the door and spill ##s into the parking lot .,The first thing you notice when you arrive on location is that the waiting line literally goes out the door and spills into the parking lot .
34722,for,for,ADP,,,,,,,0,['for'],[2005],2,2,Causal-Final Case,i work for a large retail company recently expanding our operations into canada and had to travel to ensure all of our computer network equipment was installed properly and on time .,I work for a large retail company recently expanding our operations into Canada and had to travel to ensure all of our computer network equipment was installed properly and on time .
34978,weeks,week,NOUN,,Plur,,,,,1,['weeks'],[3134],1,1,Plural Noun,"three weeks ago , bu ##rg ##lars tried to gain entry into the rear of my home .","Three weeks ago , burglars tried to gain entry into the rear of my home ."
35026,into,into,ADP,,,,,,,0,['into'],[2046],2,2,Translative Case,"got put into the wrong room the first night , and were quite surprised to have someone with the same room key trying to get in the door at 1 : 00 am !","Got put into the wrong room the first night , and were quite surprised to have someone with the same room key trying to get in the door at 1:00 am !"
35250,into,into,ADP,,,,,,,0,['into'],[2046],4,4,Translative Case,"next day got moved into another room , on the same floor with other wedding guests .","Next day got moved into another room , on the same floor with other wedding guests ."
35284,drawers,drawer,NOUN,,Plur,,,,,1,['drawers'],[22497],25,25,Plural Noun,upon delivery it was clear the entire set was damaged : a piece of wood was broke on the head ##board ; the chest of drawers was missing all four pieces necessary to attach the legs ; the dresser back legs were pushed in causing the dresser to lean into the wall ; and a ni ##gh ##stand was missing a drawer .,Upon delivery it was clear the entire set was damaged : a piece of wood was broke on the headboard ; the chest of drawers was missing all four pieces necessary to attach the legs ; the dresser back legs were pushed in causing the dresser to lean into the wall ; and a nighstand was missing a drawer .
36184,times,time,NOUN,,Plur,,,,,1,['times'],[2335],8,8,Plural Noun,i had to cancel my initial lesson 4 times and on the 5th attempt the management was quick enough to associate my cancellation ##s with my fear and finally encouraged me into taking my initial lesson .,I had to cancel my initial lesson 4 times and on the 5th attempt the management was quick enough to associate my cancellations with my fear and finally encouraged me into taking my initial lesson .
36652,times,time,NOUN,,Plur,,,,,1,['times'],[2335],31,31,Plural Noun,"you were clearly given another alternative by second home , to board him - which might have given your dog a chance to come and go from second home a couple times , getting used to the place and maybe facilitating another attempt to get into day ##care later .","You were clearly given another alternative by Second Home , to board him - which might have given your dog a chance to come and go from Second Home a couple times , getting used to the place and maybe facilitating another attempt to get into daycare later ."
37289,into,into,ADP,,,,,,,0,['into'],[2046],5,5,Translative Case,"perhaps had we not gone into this restaurant believing za ##ha ##v was going to be golden as its name suggests ( and as the many golden reviews seem to at ##test ) , we would have enjoyed a decent little expensive experience .","Perhaps had we not gone into this restaurant believing Zahav was going to be golden as its name suggests ( and as the many golden reviews seem to attest ) , we would have enjoyed a decent little expensive experience ."
37781,into,into,ADP,,,,,,,0,['into'],[2046],19,19,Translative Case,"unless you want to take the "" tell the customer how wrong she is and try and force her into a dress she ' s obviously not loving "" approach which will likely get you . . . uh . . . nowhere .","Unless you want to take the "" tell the customer how wrong she is and try and force her into a dress she 's obviously not loving "" approach which will likely get you ... uh ... nowhere ."
