,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
18177,looks,look,VERB,,Sing,3,Pres,,,1,['looks'],[3504],0,0,Third-Person Present Tense Verb,looks like it is rear ##ing its head again in louis ##ian ##na . .,looks like it is rearing its head again in Louisianna ..
18210,covers,cover,VERB,,Sing,3,Pres,,,1,['covers'],[4472],3,3,Third-Person Present Tense Verb,it pretty much covers dating stuff .,It pretty much covers dating stuff .
18217,deals,deal,VERB,,Sing,3,Pres,,,1,['deals'],[9144],2,2,Third-Person Present Tense Verb,i mostly deals with dating advice,I mostly deals with dating advice
18223,rebels,rebel,NOUN,,Plur,,,,,1,['rebels'],[8431],7,7,Plural Noun,but the news of the ara ##kan rebels is just the tip of the ice ##berg when it comes to growing concern in new delhi over the security of the and ##aman islands .,But the news of the Arakan rebels is just the tip of the iceberg when it comes to growing concern in New Delhi over the security of the Andaman Islands .
18316,suggests,suggest,VERB,,Sing,3,Pres,,,1,['suggests'],[6083],6,6,Third-Person Present Tense Verb,"an official estimate issued in 2003 suggests there are 50 , 000 "" foreigners "" in the and ##aman islands , but unofficial figures are much higher than this .","An official estimate issued in 2003 suggests there are 50,000 "" foreigners "" in the Andaman Islands , but unofficial figures are much higher than this ."
18478,guns,gun,NOUN,,Plur,,,,,1,['guns'],[4409],10,10,Plural Noun,"the presence of the sea tigers in the area with guns , cash and drugs makes the situation extremely dangerous .","The presence of the Sea Tigers in the area with guns , cash and drugs makes the situation extremely dangerous ."
18520,Reports,report,NOUN,,Plur,,,,,1,['reports'],[4311],0,0,Plural Noun,"reports from port blair make it evident that new delhi gets little on - the - ground intelligence , and the indian coast guard is gross ##ly une ##qui ##pped to deal with the surge of illegal migrants to the islands .","Reports from Port Blair make it evident that New Delhi gets little on - the - ground intelligence , and the Indian Coast Guard is grossly unequipped to deal with the surge of illegal migrants to the islands ."
18793,does,do,VERB,,Sing,3,Pres,Ind,,2,['does'],[2515],3,3,Third-Person Present Tense Verb,"unless new delhi does better in providing security to its own nationals against rebels , secession ##ists , drug runners and arms traffic ##kers , it will not generate much confidence in the capitals of surrounding nations .","Unless New Delhi does better in providing security to its own nationals against rebels , secessionists , drug runners and arms traffickers , it will not generate much confidence in the capitals of surrounding nations ."
18901,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",10,11,Genitive Case,"the route from kali ##kh ##ola in bhutan to cox ' s ba ##zar passes through northern bengal , assam and meg ##hala ##ya , and on into chi ##tta ##gong .","The route from Kalikhola in Bhutan to Cox 's Bazar passes through northern Bengal , Assam and Meghalaya , and on into Chittagong ."
18925,divides,divide,VERB,,Sing,3,Pres,,,1,['divides'],[20487],4,4,Third-Person Present Tense Verb,"the ten degree channel divides the and ##aman ##s , which are the larger and more heavily populated northern islands , from the 20 or so nico ##bar islands in the south .","The Ten Degree Channel divides the Andamans , which are the larger and more heavily populated northern islands , from the 20 or so Nicobar Islands in the south ."
18985,writes,write,VERB,,Sing,3,Pres,,,1,['writes'],[7009],5,5,Third-Person Present Tense Verb,ram ##tan ##u mai ##tra writes for a number of international journals and is a regular contributor to the washington - based e ##ir and the new delhi - based indian defense review .,Ramtanu Maitra writes for a number of international journals and is a regular contributor to the Washington - based EIR and the New Delhi - based Indian Defense Review .
19105,writes,write,VERB,,Sing,3,Pres,,,1,['writes'],[7009],2,2,Third-Person Present Tense Verb,"he also writes for aa ##kr ##osh , india ' s defense - tied quarterly journal .","He also writes for Aakrosh , India 's defense - tied quarterly journal ."
19133,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],5,5,Third-Person Present Tense Verb,[ ka ##rza ##i also has to deal with the stepped up rivalry between india and pakistan in afghanistan .,[ Karzai also has to deal with the stepped up rivalry between India and Pakistan in Afghanistan .
19169,accuses,accuse,VERB,,Sing,3,Pres,,,1,"['accuse', '##s']","[26960, 2015]",1,2,Third-Person Present Tense Verb,islamabad accuse ##s new delhi of using its consulate ##s in kan ##dah ##ar and ja ##lal ##abad to train bal ##och ##i insurgents who are active in pakistani bal ##och ##istan .,Islamabad accuses New Delhi of using its consulates in Kandahar and Jalalabad to train Balochi insurgents who are active in Pakistani Balochistan .
19284,says,say,VERB,,Sing,3,Pres,,,1,['says'],[2758],17,17,Third-Person Present Tense Verb,"“ there have no business being there unless they are under ##mini ##ng pakistan , ’ ’ says a pakistani official .","“ There have no business being there unless they are undermining Pakistan , ’’ says a Pakistani official ."
19379,forces,force,NOUN,,Plur,,,,,1,['forces'],[2749],31,31,Plural Noun,"( mu ##llah omar is leader of the taliban , us ##mani is the former corps commander of kan ##dah ##ar under the taliban regime and now a commander of taliban forces while hi ##km ##ety ##ar heads the ex ##tre ##mist hi ##z ##b - e - islam ##i . )","( Mullah Omar is leader of the Taliban , Usmani is the former corps commander of Kandahar under the Taliban regime and now a commander of Taliban forces while Hikmetyar heads the extremist Hizb - e - Islami . )"
19499,remains,remain,VERB,,Sing,3,Pres,,,1,['remains'],[3464],6,6,Third-Person Present Tense Verb,at the same time the us remains oblivious of the serious problems and political fallout which the army is facing in its operations in wa ##zi ##rist ##an .,At the same time the US remains oblivious of the serious problems and political fallout which the army is facing in its operations in Waziristan .
19655,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],17,17,Third-Person Present Tense Verb,until now pakistan has not facilitated such a return and clearly it can not happen until there is both a pull from kabul and a push from islamabad .,Until now Pakistan has not facilitated such a return and clearly it can not happen until there is both a pull from Kabul and a push from Islamabad .
19858,elections,election,NOUN,,Plur,,,,,1,['elections'],[3864],9,9,Plural Noun,"with president ka ##rza ##i certain to win the elections and the demo ##tion of key former northern alliance figures such as general fa ##him and warlord ismail khan , there is now little reason for moderate taliban leaders to fear rep ##ris ##als from former northern alliance figures if they return home .","With President Karzai certain to win the elections and the demotion of key former Northern Alliance figures such as General Fahim and warlord Ismail Khan , there is now little reason for moderate Taliban leaders to fear reprisals from former Northern Alliance figures if they return home ."
20194,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],4,4,Third-Person Present Tense Verb,ka ##rza ##i also has to deal with the stepped up rivalry between india and pakistan in afghanistan .,Karzai also has to deal with the stepped up rivalry between India and Pakistan in Afghanistan .
20438,insists,insist,VERB,,Sing,3,Pres,,,1,['insists'],[16818],4,4,Third-Person Present Tense Verb,however general barn ##o insists the us presence poses no threat to iran .,However General Barno insists the US presence poses no threat to Iran .
20464,places,place,VERB,,Sing,3,Pres,,,1,['places'],[3182],2,2,Third-Person Present Tense Verb,nevertheless this places ka ##rza ##i in a difficult and sensitive situation because he has to maintain excellent relations with both the us and iran .,Nevertheless this places Karzai in a difficult and sensitive situation because he has to maintain excellent relations with both the US and Iran .
20560,for,for,ADP,,,,,,,0,['for'],[2005],10,10,Causal-Final Case,"so far what they have done together has been good for us and that ’ s how we would like to keep it ’ ’ , says ka ##rza ##i .","So far what they have done together has been good for us and that ’s how we would like to keep it ’’ , says Karzai ."
20803,into,into,ADP,,,,,,,0,['into'],[2046],13,13,Translative Case,but to address the substance of this big lie is to risk falling into its logic .,But to address the substance of this Big Lie is to risk falling into its logic .
20888,into,into,ADP,,,,,,,0,['into'],[2046],29,29,Translative Case,"( and , a piece of sh ##ra ##p ##nel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain ; the sh ##ra ##p ##nel being in your body demonstrates you were in mortal danger and did n ' t absent yourself from it .","( And , a piece of shrapnel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain ; the shrapnel being in your body demonstrates you were in mortal danger and did n't absent yourself from it ."
21388,speaks,speak,VERB,,Sing,3,Pres,,,1,['speaks'],[8847],17,17,Third-Person Present Tense Verb,"the history of alcoholism and possibly other drug use is a key issue because it not only speaks to bush ' s character as an addict ##ive personality , but may tell us something about his erratic and alarm ##ing actions as president .","The history of alcoholism and possibly other drug use is a key issue because it not only speaks to Bush 's character as an addictive personality , but may tell us something about his erratic and alarming actions as president ."
21634,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],1,1,Third-Person Present Tense Verb,bush has a sad ##istic streak .,Bush has a sadistic streak .
21640,suffers,suffer,VERB,,Sing,3,Pres,,,1,['suffers'],[17567],2,2,Third-Person Present Tense Verb,"but he suffers the severe effects of the aftermath , and we are all suffering along with him now , since he is the most powerful man in the world .","But he suffers the severe effects of the aftermath , and we are all suffering along with him now , since he is the most powerful man in the world ."
21795,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",9,10,Genitive Case,"this little - noted interview with b ##lou ##nt ' s nephew mu ##rp ##h archibald , which appeared on national public radio ' s "" all things considered on march 30 , 2004 , gives a devastating insight into what it was like to have to suffer through bush in that period .","This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what it was like to have to suffer through Bush in that period ."
22131,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],1,1,Third-Person Present Tense Verb,"there is one place in alabama where mr . bush was present nearly every day : the headquarters in montgomery of us senate candidate win ##ton "" red "" b ##lou ##nt .","There is one place in Alabama where Mr. Bush was present nearly every day : the headquarters in Montgomery of US Senate candidate Winton "" Red "" Blount ."
22218,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,npr ' s wade good ##wyn has this report about mr . bush ' s time on that campaign .,NPR 's Wade Goodwyn has this report about Mr. Bush 's time on that campaign .
22266,remembers,remember,VERB,,Sing,3,Pres,,,1,['remembers'],[17749],12,12,Third-Person Present Tense Verb,"ask her about the handsome young man from texas , and she remembers him 32 years later like it was yesterday .","Ask her about the handsome young man from Texas , and she remembers him 32 years later like it was yesterday ."
22332,says,say,VERB,,Sing,3,Pres,,,1,['says'],[2758],1,1,Third-Person Present Tense Verb,"groom says this job helped mr . bush understand how even in a statewide senate campaign , politics are local .","Groom says this job helped Mr. Bush understand how even in a statewide Senate campaign , politics are local ."
22452,says,say,VERB,,Sing,3,Pres,,,1,['says'],[2758],1,1,Third-Person Present Tense Verb,"archibald says that in a campaign full of dedicated workers , mr . bush was not one of them .","Archibald says that in a campaign full of dedicated workers , Mr. Bush was not one of them ."
22509,says,say,VERB,,Sing,3,Pres,,,1,['says'],[2758],7,7,Third-Person Present Tense Verb,"good ##wyn : mu ##rp ##h archibald says that at first , he did n ' t know that mr . bush was serving in the air national guard .","GOODWYN : Murph Archibald says that at first , he did n't know that Mr. Bush was serving in the Air National Guard ."
22629,says,say,VERB,,Sing,3,Pres,,,1,['says'],[2758],1,1,Third-Person Present Tense Verb,"archibald says mr . bush would come into the office and , in a friendly way , offer up stories about the drinking he ' d done the night before , kind of as a conversation starter .","Archibald says Mr. Bush would come into the office and , in a friendly way , offer up stories about the drinking he 'd done the night before , kind of as a conversation starter ."
22845,says,say,VERB,,Sing,3,Pres,,,1,['says'],[2758],4,4,Third-Person Present Tense Verb,good ##wyn : archibald says the frequency with which mr . bush discussed the subject was off - putting to him .,GOODWYN : Archibald says the frequency with which Mr. Bush discussed the subject was off - putting to him .
22905,notes,note,VERB,,Sing,3,Pres,,,1,['notes'],[3964],5,5,Third-Person Present Tense Verb,good ##wyn du ##ti ##fully notes that baba groom did n ' t remember george telling drunk stories .,Goodwyn dutifully notes that Baba Groom did n't remember George telling drunk stories .
22961,means,mean,VERB,,Sing,3,Pres,,,1,['means'],[2965],2,2,Third-Person Present Tense Verb,"but that means nothing , since they were n ' t the sort of things guys like bush told the "" girls "" .","But that means nothing , since they were n't the sort of things guys like Bush told the "" girls "" ."
23027,follows,follow,VERB,,Sing,3,Pres,,,1,['follows'],[4076],1,1,Third-Person Present Tense Verb,it follows a separate probe claiming that thousands of guns meant for iraq ' s police and army instead went to al - qaeda .,It follows a separate probe claiming that thousands of guns meant for Iraq 's police and army instead went to al - Qaeda .
23123,'s,be,VERB,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",7,8,Third-Person Present Tense Verb,"a nato spokesman said : "" there ' s no tracking mechanism to ensure they do n ' t fall into the wrong hands .","A NATO spokesman said : "" There 's no tracking mechanism to ensure they do n't fall into the wrong hands ."
23233,'s,be,AUX,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"it ' s always a bang - your - head - against - the - wall moment , reading again the play the inc ##omp ##ete ##nce theory receives , even from some of the administration ' s harsh ##est mainstream critics .","It 's always a bang - your - head - against - the - wall moment , reading again the play the incompetence theory receives , even from some of the Administration 's harshest mainstream critics ."
23455,means,mean,VERB,,Sing,3,Pres,,,1,['means'],[2965],26,26,Third-Person Present Tense Verb,"but then , even to talk of an "" administration "" may be mis ##di ##re ##ction at this point , given how little representative government means in the united states these days , and how much of "" national security "" has been pri ##vati ##zed into a global gang ##land of drugs and guns .","But then , even to talk of an "" administration "" may be misdirection at this point , given how little representative government means in the United States these days , and how much of "" national security "" has been privatized into a global gangland of drugs and guns ."
23863,tens,ten,NOUN,,Plur,,,,,1,['tens'],[15295],2,2,Plural Noun,"like the tens of billions of dollars that have been "" lost "" in iraq , plane ##load ##s of arms do n ' t just "" vanish "" ; not when the pentagon contracts the work to an international criminal of bout ' s unto ##uch ##able stature .","Like the tens of billions of dollars that have been "" lost "" in Iraq , planeloads of arms do n't just "" vanish "" ; not when the Pentagon contracts the work to an international criminal of Bout 's untouchable stature ."
24164,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,"but bout ' s name is n ' t likely to be mentioned in whatever coverage this story receives , before it sinks like so many others beneath the media ' s fr ##oth ##ing trivial ##ity .","But Bout 's name is n't likely to be mentioned in whatever coverage this story receives , before it sinks like so many others beneath the media 's frothing triviality ."
24412,victims,victim,NOUN,,Plur,,,,,1,['victims'],[5694],1,1,Plural Noun,"when victims and witnesses stay silent , nothing changes .","When victims and witnesses stay silent , nothing changes ."
24432,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",14,15,Genitive Case,"now , fl ##ds leader warren jeff ##s has been added to the fbi ' s list of "" ten most wanted fugitive ##s , "" a move that caps law enforcement ' s dramatic change of approach toward the poly ##gam ##ous group in recent years . . . [ because of ] the impact that the group ' s practices , law enforcement officials say , are having on the most vulnerable within the sect , particularly children and women .","Now , FLDS leader Warren Jeffs has been added to the FBI 's list of "" Ten Most Wanted Fugitives , "" a move that caps law enforcement 's dramatic change of approach toward the polygamous group in recent years ... [ because of ] the impact that the group 's practices , law enforcement officials say , are having on the most vulnerable within the sect , particularly children and women ."
25308,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],6,6,Third-Person Present Tense Verb,"then , of course , there is the evidence the jury did not hear about in the robinson case . . .","Then , of course , there is the evidence the jury did not hear about in the Robinson case ..."
25388,adults,adult,NOUN,,Plur,,,,,1,['adults'],[6001],10,10,Plural Noun,personally i do n ' t give a damn what adults do to one another as long as there is no abuse in ##vo ##v ##led .,Personally I do n't give a damn what adults do to one another as long as there is no abuse invovled .
25520,girls,girl,NOUN,,Plur,,,,,1,['girls'],[3057],7,7,Plural Noun,it is the marrying off of young girls to older men often close relatives that en ##fur ##ates me .,It is the marrying off of young girls to older men often close relatives that enfurates me .
25574,reassigns,reassign,VERB,,Sing,3,Pres,,,1,"['re', '##ass', '##ign', '##s']","[2128, 12054, 23773, 2015]",7,10,Third-Person Present Tense Verb,in the warren jeff ##s cult he re ##ass ##ign ##s wives if the husband di ##sp ##lea ##ses him or to reward the new husband .,In the Warren Jeffs cult he reassigns wives if the husband displeases him or to reward the new husband .
25634,needs,need,VERB,,Sing,3,Pres,,,1,['needs'],[3791],6,6,Third-Person Present Tense Verb,it is genetic and the child needs to get the gene from both parents to turn into a vegetable instead of a thinking child .,It is genetic and the child needs to get the gene from both parents to turn into a vegetable instead of a thinking child .
25734,begs,beg,VERB,,Sing,3,Pres,,,1,['begs'],[27591],2,2,Third-Person Present Tense Verb,the doctor begs them to stop inter ##mar ##ry ##ing but they say they have to keep the blood pure .,The doctor begs them to stop intermarrying but they say they have to keep the blood pure .
25842,deserves,deserve,VERB,,Sing,3,Pres,,,1,['deserves'],[17210],2,2,Third-Person Present Tense Verb,"a country deserves the leaders it has , my friends . . .","A country deserves the leaders it has , my friends ..."
25864,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],1,1,Third-Person Present Tense Verb,"one has to wonder whether the bright fellows in our government and military who set up the deals with these people do n ' t know what they are , do n ' t care , or know perfectly well .","One has to wonder whether the bright fellows in our government and military who set up the deals with these people do n't know what they are , do n't care , or know perfectly well ."
26234,makes,make,VERB,,Sing,3,Pres,,,1,['makes'],[3084],2,2,Third-Person Present Tense Verb,bush successfully makes satan look good in comparison .,Bush successfully makes Satan look good in comparison .
26270,evolves,evolve,VERB,,Sing,3,Pres,,,1,"['evolve', '##s']","[19852, 2015]",7,8,Third-Person Present Tense Verb,"but more and more , as metal evolve ##s into a huge international music that belongs to everyone , it has gotten to be something weird ##er .","But more and more , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
26400,hates,hate,VERB,,Sing,3,Pres,,,1,['hates'],[16424],4,4,Third-Person Present Tense Verb,"you know , nature hates a void . : )","You know , nature hates a void . :)"
26418,says,say,VERB,,Sing,3,Pres,,,1,['says'],[2758],9,9,Third-Person Present Tense Verb,"they ' re ins ##ep ##arable , "" he says .","They 're inseparable , "" he says ."
26434,bozos,bozo,NOUN,,Plur,,,,,1,"['bo', '##zos']","[8945, 28370]",8,9,Plural Noun,the freak ##y thing here is that these bo ##zos are seriously claiming the moral high ground ? ? ? ? ?,The freaky thing here is that these bozos are seriously claiming the moral high ground ? ? ? ? ?
26494,serves,serve,VERB,,Sing,3,Pres,,,1,['serves'],[4240],2,2,Third-Person Present Tense Verb,this only serves their purposes .,This only serves their purposes .
26500,for,for,ADP,,,,,,,0,['for'],[2005],15,15,Causal-Final Case,"they want to be identified as ' christians ' , and i fully suspect that for some of them , the motivation behind their sub ##ter ##fu ##ge is more than mere political advantage , and has a lot more to do with the black magician ' s practice of the inversion principle .","They want to be identified as ' Christians ' , and I fully suspect that for some of them , the motivation behind their subterfuge is more than mere political advantage , and has a lot more to do with the black magician 's practice of the inversion principle ."
26900,Seems,seem,VERB,,Sing,3,Pres,,,1,['seems'],[3849],0,0,Third-Person Present Tense Verb,"seems as if there is a clear distinction being made between the ' imaginary ' whore of baba ##lon and the actually whore of babylon , which is this global system .","Seems as if there is a clear distinction being made between the ' imaginary ' Whore of Babalon and the actually Whore of Babylon , which is this global system ."
27086,comes,come,VERB,,Sing,3,Pres,,,1,['comes'],[3310],13,13,Third-Person Present Tense Verb,this is where the socio - political aspect of this con ##und ##rum comes into play .,This is where the socio - political aspect of this conundrum comes into play .
27131,questions,question,NOUN,,Plur,,,,,1,['questions'],[3980],8,8,Plural Noun,my point is that these are all just questions and i am und ##ec ##ided as to the answers .,My point is that these are all just questions and I am undecided as to the answers .
27239,kg,kg,NOUN,,Plur,,,,,0,['kg'],[4705],1,1,Plural Noun,"5 kg per gun , 200 , 000 guns means 1000 tonnes , impossible for 4 containers .","5 kg per gun , 200,000 guns means 1000 tonnes , impossible for 4 containers ."
27255,stands,stand,VERB,,Sing,3,Pres,,,1,['stands'],[4832],17,17,Third-Person Present Tense Verb,"but su ##cci ##ntly making point after su ##cci ##nt point , the text of the letter stands on its own merit , regardless .","But succintly making point after succint point , the text of the letter stands on its own merit , regardless ."
27297,for,for,ADP,,,,,,,0,['for'],[2005],6,6,Causal-Final Case,"they have been acc ##um ##ulating for years , and basically give the president to si ##ez ##e the government whenever he feels like it .","They have been accumulating for years , and basically give the president to sieze the government whenever he feels like it ."
27429,boggles,boggle,VERB,,Sing,3,Pres,,,1,"['bog', '##gles']","[22132, 17125]",1,2,Third-Person Present Tense Verb,"it bog ##gles the mind that anyone can take at face value bush ' s claims to be a christian , yet many seem to do just that .","It boggles the mind that ANYONE can take at face value Bush 's claims to be a christian , yet many seem to do just that ."
27591,media,medium,NOUN,,Plur,,,,,-1,['media'],[2865],7,7,Plural Noun,"the fact that the us government and media are having a hiss ##y fit over venezuela wanting to buy guns , and then 200 , 000 of the guns chavez wants to buy go missing on their way to iraq is definitely su ##s .","The fact that the US government and media are having a hissy fit over Venezuela wanting to buy guns , and then 200,000 of the guns Chavez wants to buy go missing on their way to Iraq is definitely sus ."
28001,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],3,3,Third-Person Present Tense Verb,"yes , there is a 100 year - old israeli - arab conflict , but it is not where the main show is .","Yes , there is a 100 year - old Israeli - Arab conflict , but it is not where the main show is ."
28121,citizens,citizen,NOUN,,Plur,,,,,1,['citizens'],[4480],23,23,Plural Noun,"the mass murder happening right now in sudan , where the arab mo ##sle ##m regime is mass ##ac ##ring its black christian citizens , has nothing to do with israel .","The mass murder happening right now in Sudan , where the Arab Moslem regime is massacring its black Christian citizens , has nothing to do with Israel ."
28289,for,for,ADP,,,,,,,0,['for'],[2005],44,44,Causal-Final Case,"the root of the trouble is that this entire mo ##sle ##m region is totally dysfunction ##al , by any standard of the word , and would have been so even if israel had joined the arab league and an independent palestine had existed for 100 years .","The root of the trouble is that this entire Moslem region is totally dysfunctional , by any standard of the word , and would have been so even if Israel had joined the Arab league and an independent Palestine had existed for 100 years ."
28649,intellectuals,intellectual,NOUN,,Plur,,,,,1,['intellectuals'],[17412],10,10,Plural Noun,"according to a report prepared by a committee of arab intellectuals and published under the auspices of the u . n . , the number of books translated by the entire arab world is much smaller than what little greece alone translates .","According to a report prepared by a committee of Arab intellectuals and published under the auspices of the U.N. , the number of books translated by the entire Arab world is much smaller than what little Greece alone translates ."
28929,creates,create,VERB,,Sing,3,Pres,,,1,['creates'],[9005],7,7,Third-Person Present Tense Verb,"it is fair to say that this creates an unprecedented breeding ground for cruel dictator ##s , terror networks , fan ##atic ##ism , inc ##ite ##ment , suicide murders and general decline .","It is fair to say that this creates an unprecedented breeding ground for cruel dictators , terror networks , fanaticism , incitement , suicide murders and general decline ."
29103,blames,blame,VERB,,Sing,3,Pres,,,1,"['blame', '##s']","[7499, 2015]",11,12,Third-Person Present Tense Verb,"it is also a fact that almost everybody in the region blame ##s this situation on the united states , on israel , on western civilization , on judaism and christianity , on anyone and anything , except themselves .","It is also a fact that almost everybody in the region blames this situation on the United States , on Israel , on Western Civilization , on Judaism and Christianity , on anyone and anything , except themselves ."
29220,millions,million,NOUN,,Plur,,,,,1,['millions'],[8817],4,4,Plural Noun,"a word about the millions of decent , honest , good people who are either devout mo ##sle ##ms or are not very religious but grew up in mo ##sle ##m families : they are double victims of an outside world , which now develops islam ##op ##ho ##bia , and of their own environment which breaks their heart by being totally dysfunction ##al .","A word about the millions of decent , honest , good people who are either devout Moslems or are not very religious but grew up in Moslem families : They are double victims of an outside world , which now develops Islamophobia , and of their own environment which breaks their heart by being totally dysfunctional ."
29676,accomplices,accomplice,NOUN,,Plur,,,,,1,"['acc', '##omp', '##lices']","[16222, 25377, 29146]",2,4,Plural Noun,"they become acc ##omp ##lices , by om ##iss ##ion , and this applies to political leaders , intellectuals , business people and many others .","They become accomplices , by omission , and this applies to political leaders , intellectuals , business people and many others ."
29742,years,year,NOUN,,Plur,,,,,1,['years'],[2086],3,3,Plural Noun,"a few more years may pass before everybody acknowledges that it is a world war , but we are already well into it .","A few more years may pass before everybody acknowledges that it is a World War , but we are already well into it ."
29838,seems,seem,VERB,,Sing,3,Pres,,,1,['seems'],[3849],6,6,Third-Person Present Tense Verb,"even after september 11 , it seems that most of the western world does not yet understand this weapon .","Even after September 11 , it seems that most of the Western World does not yet understand this weapon ."
29898,creates,create,VERB,,Sing,3,Pres,,,1,['creates'],[9005],1,1,Third-Person Present Tense Verb,it creates headlines .,It creates headlines .
29902,comes,come,VERB,,Sing,3,Pres,,,1,['comes'],[3310],4,4,Third-Person Present Tense Verb,but the real fear comes from the und ##is ##puted fact that no defense and no prevent ##ive measures can succeed against a determined suicide murderer .,But the real fear comes from the undisputed fact that no defense and no preventive measures can succeed against a determined suicide murderer .
30022,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],1,1,Third-Person Present Tense Verb,it has nothing to do with true fan ##atic religious beliefs .,It has nothing to do with true fanatic religious beliefs .
30044,happens,happen,VERB,,Sing,3,Pres,,,1,['happens'],[6433],2,2,Third-Person Present Tense Verb,it never happens there .,It never happens there .
30049,supports,support,VERB,,Sing,3,Pres,,,1,['supports'],[6753],5,5,Third-Person Present Tense Verb,"if part of the public supports it , others tolerate it , many are afraid of it and some try to explain it away by poverty or by a miserable childhood , organized crime will thrive and so will terrorism .","If part of the public supports it , others tolerate it , many are afraid of it and some try to explain it away by poverty or by a miserable childhood , organized crime will thrive and so will terrorism ."
30336,understands,understand,VERB,,Sing,3,Pres,,,1,['understands'],[19821],3,3,Third-Person Present Tense Verb,"the united states understands this now , after september 11 .","The United States understands this now , after September 11 ."
30347,understands,understand,VERB,,Sing,3,Pres,,,1,['understands'],[19821],1,1,Third-Person Present Tense Verb,turkey understands it well .,Turkey understands it well .
30352,seems,seem,VERB,,Sing,3,Pres,,,1,['seems'],[3849],3,3,Third-Person Present Tense Verb,"unfortunately , it seems that europe will understand it only after suicide murders arrive in europe in a big way .","Unfortunately , it seems that Europe will understand it only after suicide murders arrive in Europe in a big way ."
30457,wakes,wake,VERB,,Sing,3,Pres,,,1,['wakes'],[17507],2,2,Third-Person Present Tense Verb,"until europe wakes up , this unity will not be achieved .","Until Europe wakes up , this unity will not be achieved ."
30493,people,people,NOUN,,Plur,,,,,0,['people'],[2111],8,8,Plural Noun,"it is a daily occurrence that the same people who finance , arm and dispatch suicide murderers , condemn the act in english in front of western tv cameras , talking to a world audience , which even partly believes them .","It is a daily occurrence that the same people who finance , arm and dispatch suicide murderers , condemn the act in English in front of western TV cameras , talking to a world audience , which even partly believes them ."
30787,blows,blow,VERB,,Sing,3,Pres,,,1,['blows'],[13783],2,2,Third-Person Present Tense Verb,"she then blows herself up , killing 20 people , including many children , with heads and arms rolling around in the restaurant .","She then blows herself up , killing 20 people , including many children , with heads and arms rolling around in the restaurant ."
30859,Dignitaries,dignitary,NOUN,,Plur,,,,,2,['dignitaries'],[27960],0,0,Plural Noun,dignitaries condemn the act but visit her be ##rea ##ved family and the money flows .,Dignitaries condemn the act but visit her bereaved family and the money flows .
30901,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],1,1,Third-Person Present Tense Verb,"there is a new game in town : the actual murderer is called "" the military wing "" , the one who pays him , e ##qui ##ps him and sends him is now called "" the political wing "" and the head of the operation is called the "" spiritual leader "" .","There is a new game in town : The actual murderer is called "" the military wing "" , the one who pays him , equips him and sends him is now called "" the political wing "" and the head of the operation is called the "" spiritual leader "" ."
31473,funds,fund,VERB,,Sing,3,Pres,,,1,['funds'],[5029],2,2,Third-Person Present Tense Verb,"the money funds their travel , explosives , hideout ##s and permanent search for soft vulnerable targets .","The money funds their travel , explosives , hideouts and permanent search for soft vulnerable targets ."
31524,operates,operate,VERB,,Sing,3,Pres,,,1,['operates'],[5748],2,2,Third-Person Present Tense Verb,"this circle operates mostly through mosques , madras ##as and other religious establishments but also through inc ##iting electronic and printed media .","This circle operates mostly through mosques , madrasas and other religious establishments but also through inciting electronic and printed media ."
31566,makes,make,VERB,,Sing,3,Pres,,,1,['makes'],[3084],5,5,Third-Person Present Tense Verb,"it is this circle that makes sure that women remain inferior , that democracy is un ##thi ##nka ##ble and that exposure to the outside world is minimal .","It is this circle that makes sure that women remain inferior , that democracy is unthinkable and that exposure to the outside world is minimal ."
